"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"RFXAP",6.24388,5.97673,7.03931,6.0395,5.34331,6.1797,6.1686,5.98473,6.41786,6.05856,6.35802,5.6623,6.50715,5.64519,7.27262,5.72282,6.35311,6.79957,5.51446,6.20151,5.66592,5.99064,6.95566,6.01319,6.39128,6.37371,5.21783,6.44498,6.82508,5.11175,6.37898,6.50332,5.79636,5.76321,6.49673,6.09078,6.10437,6.69906,6.13392,6.95376,5.76061,6.20271,6.05252,5.97718,6.06146,6.07354,6.00999,5.92662,6.12074,5.46503,5.70992,6.18495,6.65603,6.17814,6.28263,6.27667,5.04394,5.58607,5.93652,5.87642,6.47463,5.91006,6.09013,5.77155,6.59704,5.59203,5.18916,5.81583,5.66028,6.04262,5.49503,6.17124,6.01025,6.05329,5.89658,5.62232,5.62224,6.47417,6.55804,7.49745,5.97917,6.25024,5.31024,6.73567,5.71354,5.63149,5.75248,6.03133,6.1362,6.7501,6.46275,6.21144,6.23237,6.52887,6.1657,6.05542,5.65071,5.76644,5.99991,5.62364
"SLC25A1",8.68579,7.5212,8.27217,8.52607,8.04513,8.52163,7.69981,8.99553,8.28799,7.68414,7.79429,8.91779,7.98349,8.45389,8.63653,9.35448,8.04443,8.06368,8.476,9.25369,8.51604,8.10469,9.43106,8.48616,8.4238,8.39757,8.56183,8.5165,8.34433,8.81967,8.9645,8.48285,9.10244,9.07099,9.41726,9.26672,9.75952,8.96713,8.41039,8.75563,7.92004,8.4372,9.3917,8.73196,8.34985,7.83632,8.10825,8.98849,9.46385,7.71862,7.97074,8.4621,8.23229,8.36094,7.25618,8.04863,8.55702,8.53076,9.14354,8.60619,7.95127,8.65262,7.89207,8.67703,9.43017,7.4294,8.34904,8.57289,9.12844,8.54896,8.81065,8.99804,7.78945,8.99471,8.05207,8.19918,7.92123,8.51387,8.28832,9.28503,7.17323,8.07691,7.57141,9.2421,8.99728,8.11297,8.04182,8.03183,8.60984,7.95552,8.59096,8.47413,9.07553,7.87186,8.74071,8.07595,9.51977,9.16637,7.39607,7.60625
"CCDC105",5.25265,5.21504,5.60369,5.41898,5.05394,5.23197,5.3253,5.27767,5.40283,5.1269,5.62268,5.58261,5.18556,5.59398,5.0454,5.4127,5.34173,5.17124,5.93115,5.72371,5.25144,5.42697,5.28996,5.10948,5.14417,5.19318,6.06189,5.39038,5.24268,5.00437,5.31518,5.67692,5.79433,5.6958,5.22511,5.57356,5.63144,5.05873,5.10403,5.28689,5.26903,5.23671,5.13241,5.49727,5.53745,5.16977,5.07597,5.14167,5.49225,5.35628,6.1193,5.21184,5.16506,5.49083,5.3909,5.32779,5.84927,5.57805,5.60246,5.74184,5.32131,5.506,5.29044,5.23714,5.81457,5.09864,6.21554,5.30353,5.74878,5.56795,5.7005,5.28363,5.59254,5.26713,5.02403,5.34984,5.1824,5.11359,5.20021,5.49372,5.27325,5.27118,6.11443,5.30797,5.91048,5.16798,5.66144,5.49763,5.44003,5.37698,5.00981,5.03757,5.63172,5.16075,5.1879,5.19031,5.82315,5.40437,5.2749,5.26612
"WEE2-AS1",4.50175,4.60317,4.76997,4.2494,4.40023,4.7633,4.98759,4.61665,4.21615,4.21079,4.28894,4.54649,4.21056,4.31495,4.65682,4.70273,4.54631,4.61541,4.60014,4.16994,4.41365,4.27806,4.068,4.53926,4.24728,4.55403,4.28486,4.95759,5.26193,4.35672,4.51283,4.30944,4.44417,4.87314,4.20383,4.80082,4.06959,4.16733,4.36245,4.32554,4.78268,4.70612,4.39825,3.95678,4.12778,4.36915,5.01633,4.43699,4.07801,4.35769,4.4846,4.529,4.14066,4.75433,4.08822,4.73989,5.29693,4.40942,4.15879,4.11269,4.36089,4.46545,4.51483,4.88758,4.36553,4.41366,5.00066,4.20758,4.50201,4.82587,4.75708,4.29906,4.14126,4.51236,4.37294,4.5111,4.48859,4.31393,4.38946,4.82292,4.20694,4.61411,4.66218,5.36029,4.77928,4.77108,4.90569,4.47817,4.32328,4.8784,4.44563,4.73215,4.60723,4.43567,4.42596,5.06427,4.88585,4.2658,4.72907,4.95836
"CRB3",8.50394,9.47746,8.53668,8.15783,8.20299,7.81484,8.91103,8.14546,7.62346,8.74671,8.84612,8.8258,8.70722,7.94201,8.72627,8.50195,7.59541,9.31752,8.79587,8.31084,8.16158,8.86484,9.55108,9.02927,8.91275,8.5478,7.79781,7.47488,8.65312,8.95785,8.74046,7.63473,8.73311,7.9138,8.44262,8.74774,8.83501,8.46522,8.19818,7.84331,8.87944,8.41795,7.88229,8.58682,9.06804,8.89916,7.54872,9.16321,8.44233,8.11762,8.68537,8.25268,7.96388,9.01653,8.5887,8.49352,8.21012,8.26767,8.46678,9.04463,7.86531,8.06531,8.91021,8.38596,7.70176,7.72951,8.1149,8.79313,7.79986,8.90596,7.97791,9.19101,8.18527,8.73954,8.36153,9.12709,9.47374,8.44148,8.91979,8.57183,8.27966,8.49471,7.90023,8.30339,8.41641,8.38556,8.69777,8.50922,8.66366,8.42166,7.84629,8.23989,8.17264,8.69697,8.31695,8.73599,8.31479,8.85104,8.34017,7.39411
"ASB4",3.92423,4.06388,3.9867,4.05234,4.13171,4.1692,4.17583,3.90032,4.21307,3.89877,4.33977,4.16843,4.18565,4.2319,4.09644,3.94036,3.98463,3.97768,4.09985,3.99688,4.01935,4.29632,3.94978,3.93243,4.01851,3.93399,4.03573,3.94341,4.1266,3.98362,4.58677,4.00266,3.97248,4.15651,4.05166,4.07827,4.28619,3.88838,3.89878,3.84368,4.20939,4.04857,3.90836,3.92455,3.99278,3.90606,4.0386,3.92549,4.08281,4.18624,4.38155,3.94674,3.94777,4.36804,4.20117,3.98824,4.08135,4.06654,4.04112,4.12075,3.99582,4.04651,4.3053,4.09482,4.35016,3.90733,4.57139,3.96728,4.2159,4.78743,4.10254,4.28126,7.65052,4.14628,3.97236,4.31597,4.1235,3.87207,4.0013,4.28891,4.00477,3.99449,4.22476,4.01673,4.25568,4.0551,4.37429,3.98151,4.01152,4.13069,3.97344,4.32661,4.08743,4.13693,3.92479,4.07098,4.1387,3.98565,3.99037,4.02849
"ZFP1",7.03505,6.88662,7.2946,7.6926,8.41583,7.62236,6.79807,7.5981,8.164,6.99927,6.85082,8.04032,8.23398,7.00348,8.24894,7.42697,6.68756,7.86598,6.69946,7.55674,7.18342,7.27767,7.0879,7.09439,7.01033,7.14415,7.59696,8.86915,7.97973,7.41195,8.10614,7.4813,6.68858,7.24379,8.0633,7.43387,7.98296,7.01326,7.43784,7.64165,7.02762,7.59769,7.11949,6.73625,7.77896,7.03059,8.56201,7.74343,7.33655,7.52096,7.44514,7.74641,7.98889,7.1862,7.63463,7.59056,7.30634,7.17296,7.24035,7.52144,7.51321,8.47306,6.878,6.73653,7.29342,7.7615,7.14564,6.80306,6.7401,6.45217,7.9531,7.93474,7.68693,7.01945,6.97273,7.02874,7.77477,7.54344,7.0476,6.99995,7.96087,7.63853,6.89013,8.57037,7.18726,7.64081,7.03765,7.24537,7.51741,7.10689,8.3936,7.62382,7.49703,6.71849,7.18476,7.92742,6.97309,7.83365,7.56444,7.38499
"PABPC4",11.15838,11.22088,11.71452,11.20776,12.10495,11.71573,11.46824,11.55143,11.62754,11.00543,12.04601,11.1532,10.64298,11.82291,12.20582,12.19242,11.03299,10.6687,11.66748,11.80881,11.71915,11.74076,11.39583,10.86288,11.44266,10.82158,12.51651,12.04021,11.59463,11.39099,11.10941,11.6596,11.68551,11.49072,11.20763,12.12213,12.49494,10.9463,11.59043,11.35452,11.44575,11.32849,11.82093,11.33768,12.1161,11.28261,11.25793,11.43345,12.91862,11.60671,12.18091,11.6702,11.17734,11.08636,11.53489,12.11437,11.64323,12.5726,11.1491,11.32731,11.48803,11.32065,11.89122,10.78896,11.59024,11.63735,11.62371,11.18245,11.80571,11.92044,12.02409,11.52813,11.56454,11.49986,11.89783,12.13642,11.62977,11.33686,11.65051,11.68321,11.49927,10.92999,11.02903,11.4623,11.24997,11.68005,10.65776,11.68049,11.79229,10.86688,12.18744,11.46581,12.09693,11.33519,11.42215,11.85937,12.2794,12.1414,11.5882,11.35982
"DNAJA2",9.57337,9.04142,8.95254,9.19019,9.35594,9.0126,8.90827,9.17018,9.07234,8.85745,9.74989,9.07502,8.99186,8.16479,8.92981,9.38013,8.22452,9.28937,8.68207,9.44807,8.71225,9.13186,9.30573,9.2576,9.19596,9.5266,9.14325,8.07521,9.19382,8.7187,8.66028,8.35873,9.40099,8.34666,9.6259,9.14103,9.8428,9.53953,9.01067,9.46828,9.2086,8.13156,8.83296,9.183,9.27268,9.16566,8.66889,9.65636,9.15878,9.29131,9.04523,9.15288,9.96811,8.65,9.39767,9.58262,8.85003,9.00838,8.59363,9.63627,8.98753,9.81207,9.4337,9.22213,8.7134,9.38266,9.149,9.18954,8.74332,8.30841,8.95653,9.08247,9.13052,9.11064,8.48503,9.11963,9.48938,9.6262,9.18659,9.03678,9.82074,9.3453,8.79171,10.07825,8.89637,9.17833,8.72738,9.23838,9.04682,9.26628,8.80879,10.75822,9.34311,9.5476,9.19797,9.51111,8.754,9.73364,9.81199,8.79214
"C1orf226",5.8911,6.99446,6.39842,6.6975,6.10133,5.17899,7.00665,4.98464,5.98213,7.6126,6.42075,6.97362,6.8712,6.04397,6.31236,6.62807,7.26327,6.40464,4.58825,5.84748,5.62195,7.37254,7.04311,7.70801,6.30242,7.62367,5.24547,8.1154,6.28468,6.45492,7.11582,7.9409,7.24852,7.05949,5.97302,7.02741,5.49352,6.29566,6.08194,6.16081,5.19195,7.17892,4.66303,5.98985,8.64751,6.51366,7.35493,6.86628,7.03691,5.05489,5.98674,6.40511,6.97982,7.44658,6.13085,4.34247,5.71813,5.93296,7.31264,5.39855,5.34584,5.82239,6.83762,7.04884,6.27418,4.22874,6.79725,6.74033,5.48686,6.93866,5.31965,7.11017,5.88512,5.8222,4.90657,6.89134,7.33497,4.6738,7.12953,5.10996,5.39885,5.89951,4.68514,6.31247,6.35906,6.53826,6.50696,5.61115,6.5281,5.6365,5.26061,6.09803,7.14851,6.87792,5.25045,6.91582,6.56347,6.39893,5.42044,5.5681
"GBX2",4.47265,4.33176,4.58752,4.06749,4.74185,5.04091,4.37909,5.06628,4.54877,4.15879,4.90536,4.98788,4.36645,6.49296,4.61997,4.48254,4.70524,4.45757,5.52062,4.31761,4.54894,4.75372,4.3058,4.56707,4.55437,4.3717,4.8862,4.06069,4.3808,4.50907,4.26492,4.22148,4.94994,4.68322,4.74444,4.46066,4.6491,5.01182,4.55399,4.06475,4.87213,4.62916,4.83706,4.65897,4.61545,4.83034,4.48234,4.3954,4.55559,4.75183,4.58224,4.65613,4.67301,4.6684,4.28136,4.45874,4.28473,4.47683,4.37646,4.4852,4.33086,4.62291,4.5154,4.38948,4.95985,4.51228,5.8889,4.64822,5.00798,4.39112,4.35001,4.54077,4.57017,4.68107,4.44955,4.59735,4.43318,4.76374,4.43402,4.48189,4.55609,4.65391,4.46832,4.71595,4.51176,4.50661,4.63619,4.75341,4.62648,4.57272,4.39937,4.60622,4.78292,4.73231,4.45824,4.46532,4.6155,4.30971,4.52037,4.29884
"MOCS3",6.20561,6.24093,6.45402,6.43832,5.81807,6.54791,5.83603,5.79289,6.29108,5.60647,6.28255,5.93503,6.23436,6.39288,5.96279,6.8832,5.92829,6.08495,6.07025,7.38059,5.98975,5.62584,6.12544,6.16949,6.08909,6.30491,6.26371,6.32646,7.13324,6.03948,6.34367,7.13382,6.42103,6.37837,6.75767,6.28623,6.93865,6.09478,5.83074,6.44572,6.05705,6.95678,6.01095,6.13762,6.11369,5.6077,6.29931,6.18044,6.52821,5.98456,5.43676,6.04871,6.03644,5.71648,6.85586,5.84752,6.61432,6.70512,6.2787,5.91731,6.58751,6.51405,5.26463,5.46591,6.15128,6.70082,7.11809,5.47887,6.22817,5.92002,6.45039,6.51609,5.97448,5.848,6.24396,5.63461,6.08358,6.11344,5.62193,6.14744,6.21601,5.81072,6.08261,6.25749,6.69426,5.27936,6.41197,6.377,6.03078,5.55527,6.25887,5.49929,6.29647,5.81043,5.91981,6.22246,6.19348,6.64392,6.46778,5.87314
